"Electricity generation statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity generation statistics
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2023",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2000",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2001",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2002",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2003",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2004",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2005",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2006",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2007",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2008",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2009",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2010",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2011",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2012",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2013",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2014",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2015",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2016",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2017",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2018",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2019",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2021",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2022",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","All","2023",-
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2000",7311.71
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2001",6609.19
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2002",6530.44
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2003",7358.52
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2004",7652.74
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2005",7555.48
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2006",9072.25
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2007",7792.73
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2008",9632.30
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2009",9242.20
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2010",7304.94
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2011",9426.20
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2012",9840.31
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2013",9485.72
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2014",8422.56
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2015",7893.15
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2016",7342.31
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2017",8833.72
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2018",8575.88
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2019",7195.60
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2020",6373.81
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2021",8463.32
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2022",9362.59
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","On-grid","2023",9565.16
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2000",16.49
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2001",14.41
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2002",12.93
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2003",12.10
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2004",10.34
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2005",10.10
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2006",11.96
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2007",10.31
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2008",11.84
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2009",11.77
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2010",19.26
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2011",33.33
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2012",45.42
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2013",44.39
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2014",40.32
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2015",49.92
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2016",46.60
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2017",55.08
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2018",85.88
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2019",107.89
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2020",96.21
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2021",107.75
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2022",140.96
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2023",139.78
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2000",7328.20
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2001",6623.60
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2002",6543.37
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2003",7370.62
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2004",7663.08
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2005",7565.57
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2006",9084.21
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2007",7803.03
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2008",9644.13
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2009",9253.97
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2010",7324.21
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2011",9459.53
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2012",9885.73
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2013",9530.11
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2014",8462.87
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2015",7943.08
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2016",7388.92
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2017",8888.80
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2018",8661.76
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2019",7303.49
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2020",6470.02
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2021",8571.07
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2022",9503.55
"Philippines (the)","Renewable hydropower","Electricity Generation (GWh)","All","2023",9704.94
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2000",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2001",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2002",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2003",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2004",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2005",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2006",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2007",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2008",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2009",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2010",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2011",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2012",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2013",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2014",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2015",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2016",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2017",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2018",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2019",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2020",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2021",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2022",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2023",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2005",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2006",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2007",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2008",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2009",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2010",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2011",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2012",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2013",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2014",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2015",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2016",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2017",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2018",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2019",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2020",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2021",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2022",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2023",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2000",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2001",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2002",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2003",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2004",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2005",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2006",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2007",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2008",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2009",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2010",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2011",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2012",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2013",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2014",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2015",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2016",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2017",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2018",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2019",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2020",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2022",-
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2023",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2000",11626.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2001",10442.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2002",10242.49
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2003",9822.44
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2004",10281.55
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2005",9902.44
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2006",10465.28
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2007",10214.69
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2008",10722.78
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2009",10323.85
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2010",9929.15
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2011",9942.33
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2012",10249.99
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2013",9604.60
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2014",10308.11
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2015",11043.69
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2016",11070.40
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",10270.08
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",10435.31
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",10690.80
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",10756.82
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",10016.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2022",10424.52
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","On-grid","2023",10730.18
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2005",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2006",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2007",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2008",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2009",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2010",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2011",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2012",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2013",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2014",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2015",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2016",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2017",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2018",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2019",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2021",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2022",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","Off-grid","2023",-
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2000",11626.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2001",10442.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2002",10242.49
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2003",9822.44
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2004",10281.55
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2005",9902.44
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2006",10465.28
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2007",10214.69
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2008",10722.78
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2009",10323.85
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2010",9929.15
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2011",9942.33
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2012",10249.99
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2013",9604.60
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2014",10308.11
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2015",11043.69
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2016",11070.40
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2017",10270.08
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2018",10435.31
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2019",10690.80
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2020",10756.82
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2021",10016.00
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2022",10424.52
"Philippines (the)","Geothermal energy","Electricity Generation (GWh)","All","2023",10730.18
